daily_test,daily_case,daily_death,daily_recover,total_test,total_case,total_death,total_recover,bed_occupancy_rate
110565.0,1761.0,52.0,1093.0,7994029.0,283270,6782.0,253245.0,
103925.0,1703.0,57.0,1047.0,7883464.0,281509,6730.0,252152.0,
96842.0,1578.0,53.0,1013.0,7779539.0,279806,6673.0,251105.0,
99497.0,1673.0,56.0,984.0,7682697.0,278228,6620.0,250092.0,
117113.0,1612.0,53.0,1021.0,7583200.0,276555,6564.0,249108.0,
110225.0,1642.0,49.0,1211.0,7466087.0,274943,6511.0,248087.0,
107927.0,1596.0,45.0,947.0,7355862.0,273301,6462.0,246876.0,
109443.0,1572.0,47.0,1003.0,7247935.0,271705,6417.0,245929.0,
110102.0,1587.0,44.0,1087.0,7138492.0,270133,6370.0,244926.0,
91302.0,1482.0,42.0,1027.0,7028390.0,268546,6326.0,243839.0,
101414.0,1549.0,39.0,1003.0,6937088.0,267064,6284.0,242812.0,
107814.0,1517.0,36.0,1017.0,6835674.0,265515,6245.0,241809.0,
106111.0,1491.0,26.0,995.0,6727860.0,263998,6209.0,240792.0,
100109.0,1313.0,20.0,1002.0,6621749.0,262507,6183.0,239797.0,
98231.0,1502.0,24.0,887.0,6521640.0,261194,6163.0,238795.0,
95943.0,1443.0,18.0,743.0,6423409.0,259692,6139.0,237908.0,
80302.0,1217.0,19.0,795.0,6327466.0,258249,6121.0,237165.0,
93007.0,1309.0,22.0,801.0,6247164.0,257032,6102.0,236370.0,
92227.0,1203.0,22.0,772.0,6154157.0,255723,6080.0,235569.0,
92301.0,1412.0,19.0,882.0,6061930.0,254520,6058.0,234797.0,
87223.0,1303.0,23.0,1002.0,5969629.0,253108,6039.0,233915.0,
82318.0,1263.0,20.0,942.0,5882406.0,251805,6016.0,232913.0,
74846.0,1233.0,22.0,1002.0,5800088.0,250542,5996.0,231971.0,
65956.0,1192.0,19.0,997.0,5725242.0,249309,5974.0,230969.0,
67214.0,1256.0,21.0,992.0,5659286.0,248117,5955.0,229972.0,
70192.0,1226.0,22.0,923.0,5592072.0,246861,5934.0,228980.0,
66892.0,1243.0,21.0,968.0,5521880.0,245635,5912.0,228057.0,
67237.0,1212.0,18.0,934.0,5454988.0,244392,5891.0,227089.0,
61716.0,1183.0,15.0,1185.0,5387751.0,243180,5873.0,226155.0,
62219.0,1193.0,14.0,1211.0,5326035.0,241997,5858.0,224970.0,
61446.0,1182.0,15.0,1103.0,5263816.0,240804,5844.0,223759.0,
63842.0,1172.0,16.0,1082.0,5202370.0,239622,5829.0,222656.0,
56726.0,1185.0,15.0,1028.0,5138528.0,238450,5813.0,221574.0,
54494.0,1153.0,14.0,1040.0,5081802.0,237265,5798.0,220546.0,
